property_name,pType_id,tedadTabaghe,property_size,address,tedadKoleTabaghat,TabagheDarVahed,bedrooms,lowest_price,VaziatBana,Jahat,nama,KafPush,ServiceKitchen,garage,VorudiMoshtarak,long_desc,amenities_id,property_slug,property_code,property_status,rent,house_mortgage,property_thumbnail,short_desc,bathrooms,property_video,latitude,longitude,featured,hot,agent_id,status,foundation_size
84,4,0,1550,جلال آباد-میانکوه,,,1,3428882000,,جنوبی,,پارکت,MDF,1,1,برق فرعی  با کاغذ قیمت  دیوار کشی  امکانات منزل  22/5 دقیقه آب  قابل معاوضه  پمپ و استخر  انباری  ساخت و کابینت  سیستم حفاظتی  با عکس و بدون فیلم,6,84,84,buy,0,0,upload/property/thumbnail/photo_2022-11-13_17-08-35.jpg,,,,,,,,1,1,
87,1,1,180,خیابان شهدا,,,2,2380000000,بتونی,جنوبی,سنگ,سنگ,MDF,1,1,3دانگ و قابل تفکیک  18 پله دارد  نوساز  بدون کاغذ قیمت  معاوضه با زمین قابل ساخت,6,87,87,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
90,4,0,1000,بلوارخرمشهر,,,2,4200000000,,غربی,سیمان سیاه,موزاییک,سنگ و فلز,,1,برق فرعی-استخر-1 ساعت آب چاه-ساخت90متری-دو خواب-حمام و سرویس بهداشتی-150 اصله درخت-دو پمپ  با کاغذ قیمت,6,90,90,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
91,4,0,1400,گلدشت-خیابان منتظری,,,,5300000000,,شمالی,اجرنما,موزاییک,MDF,1,1,آب چاه 42 دقیقه-آب کانال25دقیقه-گازفرعی-برق تجاری-جدول بندی-فضای سبز-استخر-دوتا ساخت-آب نما-کولر-آب انبار-باربیکیو-معاوضه با منزل 3خوابه-با دفترچه کشاورزی- بدون کاغذ قیمت-آب انبار 4/5*10/5*4/5,6,91,91,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
92,4,0,720,ویلاشهر-بلوار معلم,,,1,3533200000,,شمالی,سیمان سیاه,موزاییک,MDF,,1,با کاغذ قیمت-سندمشا-جدول بندی-فضای سبز-کباب پز-اسباب بازی-اسپیلیت-دوربین-دزدگیر-درب برقی-استخر-30 دقیقه آب-واترپمپ-تانک آب-برق فرعی,6,92,92,buy,0,0,upload/property/thumbnail/photo_2022-11-12_12-45-25.jpg,,,,,,,,1,1,
97,2,0,367,خیابان بوستان زندگی غربی,,,,2509000000,,جنوبی,,,,,,دیوار کشی - با کاغذ قیمت (خانیان),6,97,97,buy,0,0,upload/property/thumbnail/photo_2022-11-12_17-50-57.jpg,,,,,,,,1,1,
98,2,0,156,بلوار جمهوری,,,,998400000,,شمالی,,,,,,شماره تماس و معرف آقای گچی  کاربری باغ  با کاغذ قیمت(ابراهیم پورنمازیان),6,98,98,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
99,1,0,209,خیابان گلبهار,,,3,2361000000,آهن,جنوب شرقی,اجرنما,,,1,1,معرف و شماره تماس: میثم جلالی  تسویه شهرداری  سند 6 دانگ  بدون فیلم و عکس  با کاغذ قیمت(مهدی خانیان)  مثل خانه قدیمی و آفتاب رو دارد,6,99,99,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
100,1,0,145,خیابان فرخی,2,,4,3725135000,بتونی,شمالی,اجرنما,موزاییک,سنگ و فلز,1,1,طبقه اول یک خواب  طبقه دوم دو خواب  یک بهار خواب  قابل معاوضه با خانه هواری  برگه شهرداری  دوکولر-آیفون تصویری-دزدگیر  کاغذ قیمت(ابراهیم پورنمازیان),6,100,100,buy,0,0,upload/property/thumbnail/photo_2022-11-13_17-30-02.jpg,,,,,,,,1,1,
101,5,0,31,خیابان سعدی,,,,1052600000,,شمال غربی,,,,,,معاوضه با زمین تا 800 میلیون  معاوضه با منزل تا یک میلیارد و پانصد میلیون  با کاغذ قیمت(مهدی پورنمازیان - 1401/8/9)  بدون عکس و فیلم,6,101,101,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
